group.id,course.co_id,group.lesson
8269569,12110,שעור, 
8269570,12111,שעור, 
8269571,12112,שעור, 
8269573,12819,תרג, 
8973419,12835,שעור,NULL
8973421,12837,סמ,NULL
8973423,12838,סמ,NULL
8973427,12840,סמ,NULL
8973425,12841,סמ,NULL
8974735,12842,סמ,NULL
8269581,13004,סמ, 
8972912,13009,שות,NULL
8973041,13020,תרג,NULL
8269583,13024,תרג, 
8972914,13025,תרג,NULL
8972915,13026,תרג,NULL
8972940,13028,סמ,NULL
8972946,13033,סמ,NULL
8269584,13040,תרג, 
8972995,13063,סמ,NULL
8974071,13086,סמ,NULL
8269589,13102,תרג, 
8972947,13106,תרג,NULL
8972977,13109,שעור,NULL
8972969,13110,שוס,NULL
8269590,13113,תרג, 
8974129,13124,שעור,NULL
8269595,13128,תרג, 
8972984,13129,סמ,NULL
8972985,13133,שעור,NULL
8974050,13141,סמ,NULL
8269599,13144,שעור, 
8973016,13153,שעור,NULL
8972994,13157,תרג,NULL
8972996,13161,תרג,NULL
8972998,13163,שות,NULL
8974701,13182,סמ,NULL
8973201,13187,שות,NULL
8974072,13188,שוס,NULL
8973795,13205,שות,NULL
8973792,13214,שות,NULL
8974385,13346,שוס,NULL
8989701,13413,שוס,NULL
8974615,13421,תרג,NULL
8972980,13437,סמ,NULL
8269612,13593,סמ, 
8972917,13717,סמ,NULL
8269614,13722,סמ, 
8972942,13723,סמ,NULL
8972945,13732,סמ,NULL
8972948,13733,סמ,NULL
8972979,13735,סמ,NULL
8973029,13738,סמ,NULL
8974342,13818,סמ,NULL
8973036,13843,סמ,NULL
8974341,13902,סמ,NULL
8974159,14002,שעור,NULL
8269624,14100,תרג, 
8974945,14101,תרג,NULL
8269628,14108,שות, 
8269630,14116,שעור, 
8269631,14117,שות, 
8973063,14151,הדר,NULL
8971739,14175,שות,NULL
8269635,14211,תרג,
8973536,14218,שעור,NULL
8971749,14228,שות,
8269638,14229,סמ,א
8269639,14229,סמ,ב
8269640,14230,סמ,א
8269641,14230,סמ,ב
8269642,14242,תרג,
8974711,14256,סמ,NULL
8971745,14282,תרג,NULL
8973074,14355,סמ,NULL
8971743,14364,סמ,NULL
8971732,14371,שות,NULL
8971733,14372,שות,NULL
8973075,14373,שות,NULL
8971740,14374,סמ,NULL
8971735,14375,שעור,NULL
8971747,14376,תרג,NULL
8974304,14377,שעור,NULL
8971734,14380,שוס,NULL
8971748,14384,שוס,NULL
8971737,14392,סמ,NULL
8269654,14400,מטלה,א
8269655,14400,מטלה,ב
8975014,14423,שות,NULL
8971730,14468,שוס,NULL
8973319,14552,שוס,NULL
8971742,14704,סמ,NULL
8971751,14801,סמ,NULL
8971738,14805,סמ,NULL
8971731,14837,שוס,NULL
8971744,14848,סמ,NULL
8971746,14852,סמ,NULL
8971741,14859,סמ,NULL
8973078,14871,תרג,NULL
8269663,14922,הדר, 
8269670,14930,סמ, 
8973079,14934,סמ,NULL
8973356,14935,סמ,NULL
8973080,14937,סמ,NULL
8973108,14939,סמ,NULL
8973105,14940,סמ,NULL
8973076,14944,סמ,NULL
8972916,15027,שעור,NULL
8972941,15028,שעור,NULL
8972950,15029,שעור,NULL
8972962,15030,שעור,NULL
8972999,15031,שעור,NULL
8973000,15032,שעור,NULL
8998706,15033,שעור,NULL
8973002,15040,שעור,
8973008,15041,סמ,NULL
8269681,15100,שעור, 
8269682,15103,שעור, 
8972952,15103,תרג,א
8972953,15103,תרג,ב
8972954,15103,תרג,ג
8972955,15103,תרג,ד
8972956,15103,תרג,ה
8974918,15103,תרג,ו
8974919,15103,תרג,ז
8269692,15104,שעור, 
8972957,15104,תרג,א
8972958,15104,תרג,ב
8972959,15104,תרג,ג
8972960,15104,תרג,ד
8972961,15104,תרג,ה
8974888,15104,תרג,ו
8974132,15108,הדר,א
8974133,15108,הדר,ב
8974134,15108,הדר,ג
8974135,15108,הדר,ד
8974136,15108,הדר,ה
8974137,15108,שוה,א
8974138,15108,שוה,ב
8974139,15108,שוה,ג
8974140,15108,שוה,ד
8974141,15108,שוה,ה
8269699,15108,שעור, 
8974854,15108,הדר,ו
8974855,15108,שוה,ו
8269705,15114,שעור, 
8972968,15142,סמ,NULL
8972939,15145,שעור,NULL
8269708,15177,שעור, 
8269709,15187,שעור, 
8269716,15211,שעור, 
8269717,15244,שעור, 
8269718,15302,שעור, 
8972971,15320,סמ,NULL
8269724,15715,סמ, 
8973018,15717,סמ,NULL
8974680,15719,סמ,NULL
8973019,15722,סמ,NULL
8269729,15729,סמ, 
8269740,15740,שעור,א
8974675,15740,שעור,ב
8972935,15741,סמ,NULL
8972970,15742,סמ,
8973023,15743,סמ,NULL
8974702,15744,שעור,NULL
8973030,15745,סמ,NULL
8973034,15746,סמ,NULL
8973035,15747,סמ,NULL
8973037,15748,סמ,NULL
8974384,15749,סמ,NULL
8974843,15750,סמ,NULL
8972972,15753,סמ,
8269742,15809,סמ,
8973038,15819,סמ,NULL
8974467,15834,סמ,NULL
8274259,15845,סמ,NULL
8972928,15847,סמ,NULL
