127.0.0.1, 2015-04-30 13:18:41, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.673757
127.0.0.1, 2015-04-30 13:18:41, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.183086
127.0.0.1, 2015-04-30 13:18:41, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.008496
127.0.0.1, 2015-04-30 13:19:09, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.057913
127.0.0.1, 2015-04-30 13:19:10, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.134731
127.0.0.1, 2015-04-30 13:19:10, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.189977
127.0.0.1, 2015-04-30 13:19:10, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.235952
127.0.0.1, 2015-04-30 13:19:10, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.245919
127.0.0.1, 2015-04-30 13:19:10, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.305484
127.0.0.1, 2015-04-30 13:19:10, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.127070
127.0.0.1, 2015-04-30 13:19:17, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.057392
127.0.0.1, 2015-04-30 13:19:18, GET, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.100704
127.0.0.1, 2015-04-30 13:19:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.339941
127.0.0.1, 2015-04-30 13:19:18, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.533828
127.0.0.1, 2015-04-30 13:19:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.701667
127.0.0.1, 2015-04-30 13:19:18, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.709939
127.0.0.1, 2015-04-30 13:19:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.588579
127.0.0.1, 2015-04-30 13:19:35, GET, /ihuji/appadmin/index, HTTP/1.1, 500, 0.482826
127.0.0.1, 2015-04-30 13:19:37, GET, /admin/default/ticket/ihuji/127.0.0.1.2015-04-30.13-19-34.7bc089cc-0a04-41cf-a287-ce9bfc7f9c38, HTTP/1.1, 200, 0.107211
127.0.0.1, 2015-04-30 13:20:18, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.254093
127.0.0.1, 2015-04-30 13:20:18, GET, /ihuji/appadmin/hooks, HTTP/1.1, 500, 0.513912
127.0.0.1, 2015-04-30 13:21:04, POST, /admin/default/edit/ihuji/models/db.py, HTTP/1.1, 200, 0.057427
127.0.0.1, 2015-04-30 13:21:12, GET, /ihuji/appadmin/index, HTTP/1.1, 200, 0.392257
